antigen_target	antigen_class	feature	assay_family	minimum	minimum_positive	recommended_pseudocount	transform_recommendation	authoritative_phase1F_scale	phase1F_note
BPV	heterologous_control_antigen	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	0.7999999999999972	0.7999999999999972	0.3999999999999986	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgG	antibody_isotype_or_subclass	43.0	43.0	21.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgG1	antibody_isotype_or_subclass	14.3	14.3	7.15	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgG4	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	93.5	93.5	46.75	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	10.12814	10.12814	5.06407	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	10.5	10.5	5.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	22.0	22.0	11.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	0.2000000000000028	0.2000000000000028	0.1000000000000014	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	0.7000000000000028	0.7000000000000028	0.3500000000000014	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	137.5	137.5	68.75	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV16	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	50.0	50.0	25.0	log2_titer	log2_dilution_titer	No pseudocount required because observed titers are positive; retain assay-floor indicator.
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	4.035025	4.035025	2.0175125	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG	antibody_isotype_or_subclass	52.5	52.5	26.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG1	antibody_isotype_or_subclass	47.3	47.3	23.65	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG3	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	IgM	antibody_isotype_or_subclass	404.5	404.5	202.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	50.0	50.0	25.0	log2_titer	log2_dilution_titer	No pseudocount required because observed titers are positive; retain assay-floor indicator.
HPV31	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	42.5	42.5	21.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	8.0	8.0	4.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	0.5	0.5	0.25	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV31	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	73.7	73.7	36.85	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	1.0	1.0	0.5	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
HPV33	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	76.0	76.0	38.0	log2_with_target_feature_pseudocount	log2_raw_positive_value	Observed values are positive; use raw log2 transformation. Retain target-visit floor indicator and perform two-part sensitivity analysis for moderate or high floor severity.
